,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,QC
219,7614,7766,0.033695,0.019779999999999992,0.24016500000000002,0.09909000000000001,0.040295,96,44584,6402,459,1367,9857,124,258,9204,2999,21824,0,1630947652217,-95.19311178851369,39.04302615670592,0.9997,0.7953,0,0
220,7579,7750,0.03600500000000001,0.021100000000000008,0.2084025,0.0960375,0.04367750000000001,130,44596,6402,460,1367,9850,124,258,9204,2999,21824,0,1630947652217,-95.19346655497225,39.04328977982397,0.9997,0.7953,0,0
221,7620,7749,0.037077499999999985,0.021292499999999992,0.27641,0.122025,0.047087500000000004,160,44581,6402,462,1367,9860,124,258,9205,2999,21824,0,1630947652217,-95.19312014488959,39.04329629691462,0.9997,0.7953,0,0
222,7625,7775,0.037242499999999984,0.02285999999999999,0.24569249999999998,0.10753249999999998,0.04744499999999999,96,44603,6404,463,1367,9851,79,251,9207,2997,21824,0,1630947652217,-95.1927737346947,39.04330281297735,0.9997,0.7953,0,0
223,7618,7780,0.03595000000000001,0.021897499999999986,0.2141225,0.09543249999999998,0.04257749999999999,96,44617,6402,463,1367,9850,124,258,9211,2999,21824,0,1630947652217,-95.19347491277773,39.04355991995622,0.9997,0.7953,0,0
224,7625,7755,0.035674999999999985,0.020687499999999998,0.267115,0.11311500000000002,0.0448325,96,44600,6402,464,1367,9860,124,258,9211,2999,21824,0,1630947652217,-95.19312850137773,39.04356643710927,0.9997,0.7953,0,0
225,7685,7736,0.029679999999999984,0.01865249999999999,0.17743750000000003,0.08278249999999998,0.04013,66,42479,8804,160,435,9850,124,301,8469,827,21824,0,1632330054822,-95.193458197279,39.04301963967769,0.9997,0.7385,0,0
226,7678,7747,0.029349999999999987,0.01785500000000001,0.228615,0.091885,0.039580000000000004,96,42444,8805,161,435,9860,124,301,8462,827,21824,0,1632330054822,-95.19311178851369,39.04302615670592,0.9997,0.7385,0,0
227,7724,7777,0.031604999999999994,0.019614999999999994,0.1878325,0.09251749999999997,0.04321,96,42497,8805,157,435,9851,124,303,8477,827,21824,0,1632330054822,-95.19346655497225,39.04328977982397,0.9996,0.7385,0,0
228,7729,7812,0.0322925,0.01983499999999999,0.2901325,0.11086000000000001,0.04596,96,42437,8805,158,435,9866,124,303,8464,827,21824,0,1632330054822,-95.19312014488959,39.04329629691462,0.9997,0.7385,0,0
229,7732,7797,0.034272499999999984,0.02145749999999999,0.223225,0.10717500000000002,0.04794000000000001,96,42483,8806,159,434,9853,79,296,8472,826,21824,0,1632330054822,-95.1927737346947,39.04330281297735,0.9997,0.7385,0,0
230,7691,7765,0.03168750000000001,0.01848749999999999,0.19602750000000002,0.08522999999999997,0.040679999999999994,96,42519,8805,154,435,9854,124,305,8488,827,21824,0,1632330054822,-95.19347491277773,39.04355991995622,0.9996,0.7385,0,0
231,7757,7791,0.03174250000000001,0.019394999999999996,0.2867775,0.10843999999999998,0.045162499999999994,96,42457,8805,155,435,9866,124,305,8472,827,21824,0,1632330054822,-95.19312850137773,39.04356643710927,0.9997,0.7385,0,0
232,7728,7876,0.03787499999999999,0.025582500000000008,0.1832125,0.09961249999999999,0.053192499999999976,160,42416,6652,62,1251,9835,124,395,8451,2696,21824,0,1633712460938,-95.193458197279,39.04301963967769,0.9996,0.6717000000000001,0,0
233,7765,7885,0.03842499999999999,0.02621499999999999,0.2154975,0.10453499999999999,0.05308249999999998,160,42402,6654,61,1250,9842,124,395,8451,2695,21824,0,1633712460938,-95.19311178851369,39.04302615670592,0.9996,0.6717000000000001,0,0
234,7750,7896,0.03938749999999999,0.026709999999999984,0.19391000000000003,0.10673500000000002,0.055942500000000006,160,42412,6654,59,1250,9836,124,397,8451,2695,21824,0,1633712460938,-95.19346655497225,39.04328977982397,0.9996,0.6717000000000001,0,0
235,7814,7945,0.04189000000000001,0.029514999999999986,0.2729725,0.125985,0.05992999999999998,130,42377,6654,58,1250,9850,124,397,8447,2695,21824,0,1633712460938,-95.19312014488959,39.04329629691462,0.9996,0.6717000000000001,0,0
236,7821,7942,0.04345750000000001,0.030285000000000006,0.22391250000000001,0.12004500000000001,0.059655000000000014,160,42387,6655,58,1250,9836,79,394,8443,2693,21824,0,1633712460938,-95.1927737346947,39.04330281297735,0.9996,0.6717000000000001,0,0
237,7746,7903,0.039965,0.027370000000000005,0.1985575,0.10346250000000001,0.05407250000000002,160,42425,6654,56,1250,9838,124,398,8455,2695,21824,0,1633712460938,-95.19347491277773,39.04355991995622,0.9996,0.6717000000000001,0,0
238,7773,7935,0.04211000000000001,0.029734999999999984,0.26475,0.121695,0.059187500000000004,160,42386,6654,55,1250,9849,124,399,8449,2695,21824,0,1633712460938,-95.19312850137773,39.04356643710927,0.9996,0.6717000000000001,0,0
239,7585,7724,0.028634999999999994,0.021430000000000005,0.1562075,0.0749725,0.03617000000000001,96,40907,7488,601,845,9837,124,229,7732,1761,21824,0,1636477260183,-95.193458197279,39.04301963967769,0.9997,0.5293,0,0
240,7603,7717,0.03053249999999999,0.032594999999999985,0.174275,0.09567999999999999,0.044639999999999985,160,40925,7489,603,845,9832,124,229,7735,1760,21824,0,1636477260183,-95.19311178851369,39.04302615670592,0.9997,0.5293,0,0
241,7632,7756,0.027755000000000002,0.019504999999999995,0.16390749999999998,0.079895,0.040157499999999985,130,40880,7489,603,845,9839,124,229,7724,1760,21824,0,1636477260183,-95.19346655497225,39.04328977982397,0.9997,0.5293,0,0
242,7727,7807,0.03652749999999999,0.043375,0.2173675,0.12614999999999998,0.05915999999999999,160,40917,7489,605,845,9835,124,229,7734,1760,21824,0,1636477260183,-95.19312014488959,39.04329629691462,0.9997,0.5293,0,0
243,7679,7764,0.03344749999999999,0.029349999999999987,0.1829925,0.10362749999999998,0.04956250000000001,160,40944,7490,607,845,9831,79,222,7741,1759,21824,0,1636477260183,-95.1927737346947,39.04330281297735,0.9997,0.5293,0,0
244,7624,7735,0.02918499999999999,0.02302499999999999,0.16778500000000002,0.08522999999999997,0.04288,160,40865,7490,606,845,9839,124,229,7719,1760,21824,0,1636477260183,-95.19347491277773,39.04355991995622,0.9997,0.5293,0,0
245,7647,7780,0.0352075,0.03803999999999999,0.1929475,0.11286750000000001,0.05286249999999998,160,40920,7489,608,845,9834,124,229,7734,1760,21824,0,1636477260183,-95.19312850137773,39.04356643710927,0.9997,0.5293,0,0
246,7635,7675,0.025582500000000008,0.019065,0.1519725,0.072525,0.03831499999999999,96,36920,9480,222,153,9826,124,277,6265,264,21824,0,1637859658132,-95.193458197279,39.04301963967769,0.9997,0.47040000000000004,0,0
247,7704,7790,0.02761749999999999,0.024290000000000006,0.13979000000000003,0.0872925,0.04937,66,36894,9480,225,153,9818,124,276,6250,264,21824,0,1637859658132,-95.19311178851369,39.04302615670592,0.9997,0.47040000000000004,0,0
248,7668,7770,0.02682000000000001,0.0205775,0.1605525,0.07741999999999999,0.04032250000000001,96,36880,9480,224,153,9828,124,276,6251,264,21824,0,1637859658132,-95.19346655497225,39.04328977982397,0.9997,0.47040000000000004,0,0
249,7948,7991,0.032704999999999984,0.03388749999999999,0.15120250000000002,0.1192475,0.07109500000000002,96,36877,9480,226,153,9814,124,275,6242,264,21824,0,1637859658132,-95.19312014488959,39.04329629691462,0.9997,0.47040000000000004,0,0
250,7641,7766,0.027700000000000002,0.02233750000000001,0.16085500000000003,0.08883249999999998,0.04689499999999999,96,36872,9480,229,153,9820,79,267,6243,264,21824,0,1637859658132,-95.1927737346947,39.04330281297735,0.9997,0.47040000000000004,0,0
251,7613,7740,0.026599999999999985,0.0203575,0.16352250000000002,0.07607249999999999,0.04081750000000001,96,36876,9480,226,153,9829,124,275,6250,264,21824,0,1637859658132,-95.19347491277773,39.04355991995622,0.9997,0.47040000000000004,0,0
