,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,partition,ID,PLOT_ID,Date
4,0.009687499999999988,0.013812500000000005,0.037242499999999984,0.02285999999999999,0.24569249999999998,0.10753249999999998,0.04744499999999999,96.0,44603.0,6404.0,463.0,1367.0,9851.0,79.0,251.0,9207.0,2997.0,21824.0,0.0,1630947652217.0,-95.1927737346947,39.04330281297735,0.9997,0.7953,0.0,1.0,8,UKFS_051,9/9/2021
5,0.009495000000000003,0.01394999999999999,0.03595000000000001,0.021897499999999986,0.2141225,0.09543249999999998,0.04257749999999999,96.0,44617.0,6402.0,463.0,1367.0,9850.0,124.0,258.0,9211.0,2999.0,21824.0,0.0,1630947652217.0,-95.19347491277773,39.04355991995622,0.9997,0.7953,0.0,5.0,8,UKFS_051,9/9/2021
6,0.009687499999999988,0.013262499999999983,0.035674999999999985,0.020687499999999998,0.267115,0.11311500000000002,0.0448325,96.0,44600.0,6402.0,464.0,1367.0,9860.0,124.0,258.0,9211.0,2999.0,21824.0,0.0,1630947652217.0,-95.19312850137773,39.04356643710927,0.9997,0.7953,0.0,5.0,8,UKFS_051,9/9/2021
0,0.03320000000000001,0.04054250000000001,0.05979249999999997,0.05987500000000001,0.1728175,0.1842025,0.1200175,224.0,44090.0,9006.0,974.0,345.0,9690.0,97.0,212.0,8998.0,636.0,21824.0,0.0,1630692434831.0,-110.5430968166247,44.95362251098656,0.9998,0.7549,0.5117,10.0,11,YELL_060,9/9/2021
1,0.0446675,0.05564000000000002,0.0778875,0.0865225,0.1854675,0.27157,0.188575,160.0,44481.0,9005.0,972.0,345.0,9690.0,97.0,212.0,9165.0,637.0,21824.0,0.0,1630692434831.0,-110.54347499352667,44.953894083340344,0.9998,0.7549,0.5122,10.0,11,YELL_060,9/9/2021
2,0.032704999999999984,0.040679999999999994,0.05729000000000001,0.05591499999999999,0.16286250000000002,0.1770525,0.11426999999999998,224.0,44258.0,9005.0,971.0,345.0,9690.0,97.0,212.0,9070.0,637.0,21824.0,0.0,1630692434831.0,-110.54309467376426,44.95389256239457,0.9998,0.7549,0.5117,10.0,11,YELL_060,9/9/2021
3,0.02761749999999999,0.03490499999999999,0.055694999999999995,0.05701499999999998,0.1772725,0.188025,0.11242750000000001,224.0,43976.0,9005.0,969.0,345.0,9703.0,76.0,209.0,8961.0,637.0,21824.0,0.0,1630692434831.0,-110.54271435403206,44.95389104018232,0.9998,0.7549,0.5113,10.0,11,YELL_060,9/9/2021
4,0.04378750000000001,0.05382500000000001,0.0744225,0.08206750000000002,0.17787750000000002,0.257765,0.1782625,224.0,44288.0,9004.0,970.0,345.0,9791.0,86.0,210.0,9167.0,637.0,21824.0,0.0,1630692434831.0,-110.54347285241957,44.95416413474968,0.9998,0.7549,0.5123,10.0,11,YELL_060,9/9/2021
5,0.036500000000000005,0.045520000000000005,0.06323000000000001,0.0687025,0.17741,0.201335,0.13497750000000003,224.0,44094.0,9004.0,968.0,345.0,9800.0,86.0,210.0,9091.0,638.0,21824.0,0.0,1630692434831.0,-110.54309253087361,44.95416261378966,0.9998,0.7549,0.5119,10.0,11,YELL_060,9/9/2021
6,0.030835,0.040102499999999985,0.06257000000000001,0.06603500000000001,0.182745,0.22272999999999998,0.1383875,224.0,43940.0,9004.0,967.0,345.0,9793.0,88.0,210.0,9019.0,638.0,21824.0,0.0,1630692434831.0,-110.54271220935786,44.954161091563165,0.9998,0.7549,0.5114000000000001,10.0,11,YELL_060,9/9/2021
0,0.018460000000000004,0.0203575,0.04345750000000001,0.025747500000000006,0.2931025,0.146665,0.058252499999999985,96.0,44600.0,6391.0,435.0,1371.0,9856.0,87.0,255.0,9209.0,3009.0,21824.0,0.0,1630947652217.0,-95.19093316064819,39.03982354919863,0.9997,0.7954,0.0,5.0,13,UKFS_047,9/9/2021
